name	plot	weight	weightRatio	presence	no	date	block	position	watering	seedmix	seetDensity	substrate	brickType	brickRatio	acid	grassMass	forbMass	vegCov4	vegCov6	vegCov8	vegCov10	vegCov11	vegCov13	extraspecNo	specPres	specAbs	estRate
Achillea_millefolium	A05	0.03	0.057	1	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Alopecurus_pratensis	A05	0.01	0.025	1	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Bromus_erectus	A05	0.06	0.134	0	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Campanula_patula	A05	0.02	0.035	1	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Cardamine_pratensis	A05	0.02	0.05	1	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Daucus_carota	A05	0.02	0.05	1	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Festuca_rubra	A05	0.02	0.044	0	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Helictotrichon_pubescens	A05	0.02	0.034	0	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Hypochaeris_radicata	A05	0.01	0.011	1	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Leontodon_hispidus	A05	0.02	0.036	1	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Luzula_campestris	A05	0.01	0.019	0	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Onobrychis_viciifolia	A05	0.05	0.101	0	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Plantago_media	A05	0.03	0.053	1	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Poa_angustifolia	A05	0.03	0.062	1	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Primula_veris	A05	0.06	0.116	0	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Prunella_vulgaris	A05	0.01	0.025	1	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Ranunculus_bulbosus	A05	0.04	0.075	1	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Veronica_chamaedrys	A05	0.01	0.024	1	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Vicia_cracca	A05	0.02	0.033	0	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
Vicia_sepium	A05	0.01	0.017	0	5	NA	A	o	0.5	Robust	4	NA	Clean	30	Acid	2.9	11.7	20.6	39.6	51.4	67.3	67.7	59.1	3	12	8	0.6
