name,nomenclature,family,abb,n,f,r,poolDesign,poolStandard,slaTry,heightTry,seedmassTry,abs1Design,pres1Design,estRate1Design,abs1Standard,pres1Standard,estRate1Standard,abs2,pres2,estRate2,abs3,pres3,estRate3
Juncus_spec,http://www.worldfloraonline.org/taxon/wfo-4000019671,Juncaceae,Juncspec,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leontodon_hispidus,http://www.worldfloraonline.org/taxon/wfo-0000018147,Asteraceae,Leonhisp,6,5,7,1,1,22.98850575,0.21400000000000002,1.1,21,20,0.49,28,4,0.12,15,5,0.25,8,27,0.77
Leucanthemum_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000036932,Asteraceae,Leucvulg,3,4,NA,1,1,NA,NA,NA,6,41,0.87,0,32,1,3,27,0.9,4,33,0.89
Lolium_multiflorum,http://www.worldfloraonline.org/taxon/wfo-0000878425,Poaceae,Lolimult,NA,NA,NA,0,0,22.6,0.675,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lolium_perenne,http://www.worldfloraonline.org/taxon/wfo-0000878441,Poaceae,Lolipere,NA,NA,NA,0,1,26.2,0.33,1.81,NA,NA,NA,1,31,0.97,NA,NA,NA,NA,NA,NA
Lotus_corniculatus,http://www.worldfloraonline.org/taxon/wfo-0000212180,Fabaceae,Lotucorn,NA,NA,NA,0,1,22.305,0.23349999999999999,1.2,NA,NA,NA,3,29,0.91,NA,NA,NA,NA,NA,NA
Luzula_campestris,http://www.worldfloraonline.org/taxon/wfo-0000777662,Juncaceae,Luzucamp,3,4,3,1,0,25.27,0.15,0.66,58,NA,NA,NA,NA,NA,31,NA,NA,36,0,0
Medicago_lupulina,http://www.worldfloraonline.org/taxon/wfo-0000213454,Fabaceae,Medilupu,NA,4,8,1,1,29.8,0.23,1.551,57,14,0.2,25,7,0.22,35,9,0.2,3,52,0.95
Onobrychis_viciifolia,http://www.worldfloraonline.org/taxon/wfo-0000205013,Fabaceae,Onobvici,3,3,8,1,0,19.72,0.3625,19.8,36,35,0.49,NA,NA,NA,21,24,0.53,26,28,0.52
Phleum_pratense,http://www.worldfloraonline.org/taxon/wfo-0000890092,Poaceae,Phleprat,7,5,NA,1,0,24.7,0.5469999999999999,0.4,34,NA,NA,NA,NA,NA,21,NA,NA,1,30,0.97
Pimpinella_saxifraga,http://www.worldfloraonline.org/taxon/wfo-0000391166,Apiaceae,Pimpsaxi,NA,NA,NA,0,1,14.1,0.29,1.1949999999999998,NA,NA,NA,31,1,0.03,NA,NA,NA,NA,NA,NA
Plantago_lanceolata,http://www.worldfloraonline.org/taxon/wfo-0000486603,Plantaginaceae,Planlanc,NA,NA,NA,1,1,19.9,0.11,1.52,10,30,0.75,5,27,0.84,8,22,0.73,3,29,0.91
Plantago_media,http://www.worldfloraonline.org/taxon/wfo-0000486573,Plantaginaceae,Planmedi,3,4,7,1,0,20.5010143877583,0.06,0.32,3,40,0.93,NA,NA,NA,5,25,0.83,3,23,0.88
Poa_angustifolia,http://www.worldfloraonline.org/taxon/wfo-0000891510,Poaceae,Poaangu,3,NA,NA,1,0,18.8,0.3,0.19,8,29,0.78,NA,NA,NA,7,21,0.75,2,26,0.93
Poa_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000893396,Poaceae,Poaprat,NA,NA,NA,0,1,23.685000000000002,0.291,0.295,NA,NA,NA,1,31,0.97,NA,NA,NA,NA,NA,NA
Potentilla_reptans,http://www.worldfloraonline.org/taxon/wfo-0001011690,Rosaceae,Poterept,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primula_veris,http://www.worldfloraonline.org/taxon/wfo-0000482741,Primulaceae,Primveri,3,4,8,1,0,18.8,0.1,0.825,45,NA,NA,NA,NA,NA,33,NA,NA,3,29,0.91
Prunella_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000283746,Lamiaceae,Prunvulg,5,5,7,1,0,30.1,0.1,0.727,8,37,0.82,NA,NA,NA,6,23,0.79,20,22,0.52
Ranunculus_acris,http://www.worldfloraonline.org/taxon/wfo-0000461396,Ranunculaceae,Ranuacri,NA,6,NA,1,0,23,0.3375,1.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranunculus_bulbosus,http://www.worldfloraonline.org/taxon/wfo-0000461562,Ranunculaceae,Ranubulb,3,3,7,1,0,17.85714286,0.25,2.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranunculus_spec,http://www.worldfloraonline.org/taxon/wfo-4000032540,Ranunculaceae,Ranuspec,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanguisorba_minor,http://www.worldfloraonline.org/taxon/wfo-0001015888,Rosaceae,Sangmino,NA,NA,NA,0,1,19.1,0.12,4.91,NA,NA,NA,20,12,0.38,NA,NA,NA,NA,NA,NA
Saxifraga_granulata,http://www.worldfloraonline.org/taxon/wfo-0000494893,Saxifragaceae,Saxigran,3,4,5,1,0,30.8,0.175,0.028499999999999998,49,2,0.04,NA,NA,NA,27,NA,NA,32,0,0
Silene_dioica,http://www.worldfloraonline.org/taxon/wfo-0000440478,Caryophyllaceae,Siledioi,8,6,7,1,0,33.5,0.25,0.69,15,28,0.65,NA,NA,NA,6,22,0.79,5,38,0.88
Silene_flos-cuculi,http://www.worldfloraonline.org/taxon/wfo-0000438691,Caryophyllaceae,Sileflos,NA,7,NA,1,0,25,0.525,0.19,0,35,1,NA,NA,NA,1,26,0.96,7,25,0.78
Taraxacum_spec,http://www.worldfloraonline.org/taxon/wfo-4000037583,Asteraceae,Taraspec,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thymus_pulegioides,http://www.worldfloraonline.org/taxon/wfo-0000324607,Lamiaceae,Thympule,1,4,NA,1,0,20.95,0.1875,0.15,16,28,0.64,NA,NA,NA,17,20,0.54,4,30,0.88
Tragopogon_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000080363,Asteraceae,Tragprat,6,4,7,1,0,17.6,0.4,9.94,31,12,0.28,NA,NA,NA,19,11,0.37,19,14,0.42
Trifolium_dubium,http://www.worldfloraonline.org/taxon/wfo-0000212995,Fabaceae,Trifdubi,NA,NA,NA,0,0,25.1,0.251,0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trifolium_pratense,http://www.worldfloraonline.org/taxon/wfo-0000213053,Fabaceae,Trifprat,NA,NA,NA,0,0,22.8493506493506,0.31,1.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trisetum_flavescens,http://www.worldfloraonline.org/taxon/wfo-0000905119,Poaceae,Trisflav,5,NA,NA,1,0,20.8,0.4,0.2,7,32,0.82,NA,NA,NA,4,27,0.87,2,30,0.94
Veronica_chamaedrys,http://www.worldfloraonline.org/taxon/wfo-0000419437,Scrophulariaceae,Verocham,NA,5,NA,1,0,31.25,0.2,0.21,13,35,0.73,NA,NA,NA,10,20,0.67,7,27,0.79
Vicia_cracca,http://www.worldfloraonline.org/taxon/wfo-0000214046,Fabaceae,Vicicrac,NA,6,NA,1,0,28.02,0.946,14.7,75,5,0.06,NA,NA,NA,47,7,0.13,37,13,0.26
Vicia_sepium,http://www.worldfloraonline.org/taxon/wfo-0000212792,Fabaceae,Vicisepi,5,5,6,1,0,35.1,0.45,20.9324,61,5,0.08,NA,NA,NA,46,3,0.06,54,3,0.05
