name	no	n	f	r	sla	height	seedmass	poolD	abs1D	pres1D	estRate1D	abs2D	pres2D	estRate2D	poolS	abs1S	pres1S	estRate1S
Prunella_vulgaris	46	5	5	7	31	0.15	0.67	1	8	37	0.82	2	13	0.87	0	NA	NA	NA
Ranunculus_spec	47	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
Saxifraga_granulata	49	3	4	5	30.8	0.1	0.03	1	49	2	0.04	12	0	0	0	NA	NA	NA
Silene_dioica	50	8	6	7	37.72	0.59	0.78	1	15	28	0.65	1	11	0.92	0	NA	NA	NA
Silene_flos-cuculi	51	NA	7	NA	25	0.53	0.19	1	0	35	1	1	14	0.93	0	NA	NA	NA
Thymus_pulegioides	53	1	4	NA	26.56	0.2	0.15	1	16	28	0.64	8	13	0.62	0	NA	NA	NA
Tragopogon_pratensis	54	6	4	7	18.2	0.35	10.38	1	31	12	0.28	9	6	0.4	0	NA	NA	NA
Trisetum_flavescens	57	5	NA	NA	20.8	0.55	0.25	1	7	32	0.82	2	13	0.87	0	NA	NA	NA
Veronica_chamaedrys	58	NA	5	NA	30.51	0.25	0.22	1	13	35	0.73	5	7	0.58	0	NA	NA	NA
Vicia_cracca	59	NA	6	NA	25.21	0.75	14.29	1	75	5	0.06	21	4	0.16	0	NA	NA	NA
Vicia_sepium	60	5	5	6	37.5	0.45	21.99	1	61	5	0.08	24	1	0.04	0	NA	NA	NA
Carex_hirta	12	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
Carex_spec	13	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
Centaurea_jacea	14	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1	7	25	0.78
Dactylis_glomerata	17	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
Festuca_pratensis	20	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
Festuca_trachyphylla	19	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1	0	32	1
Fragaria_vesca	22	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
Galium_verum	24	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1	13	19	0.59
Holcus_lanatus	27	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
Juncus_spec	29	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
Lolium_multiflorum	32	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
Lolium_perenne	33	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1	1	31	0.97
Lotus_corniculatus	34	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1	3	29	0.91
Pimpinella_saxifraga	38	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1	31	1	0.03
Poa_pratensis	43	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1	1	31	0.97
Potentilla_reptans	44	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
Sanguisorba_minor	48	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1	20	12	0.38
Taraxacum_spec	52	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
Trifolium_dubium	55	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
Trifolium_pratense	56	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
